birth,location
,"Breslau, Germany"
1913,"Sopockin, Poland"
1912,"Miskolc, Hungary"
1888,"Recklinghausen, Germany"
1890,"Paris, France"
1869,"Hillegersberg, The Netherlands"
,"Semihai, Romania"
1928,"Freiburg, Germany"
1889,"Szentgal, Hungary"
1894,"Veszprem, Hungary"
1922,"Amsterdam, The Netherlands"
1868,"Matei, Romania"
1891,"Danfalu, Romania"
1905,"Janina, Greece"
1907,"Senta, Yugoslavia"
1908,"Torda, Yugoslavia"
,
1911,"Sopron, Hungary"
1926,"Wolowa, Czechoslovakia"
1928,"Sacel, Romania"
1902,"Sacel, Romania"
1887,"Sziget, Romania"
1901,"Sopron, Hungary"
1890,"Oradea Mare, Romania"
1928,"Chust, Czechoslovakia"
1899,"Kosice, Czechoslovakia"
1916,"Buzita, Czechoslovakia"
1924,"Kosice, Czechoslovakia"
1905,"Negrevits, Czechoslovakia"
1880,"Berbesti, Romania"
1900,"Berbest, Romania"
1904,"Berbesti, Romania"
1906,"Berbesti, Romania"
1906,"Drahovo, Czechoslovakia"
1887,"Slatinske Doly, Czechoslovakia"
1908,
1900,"Ivrea, Italy"
1913,"Weissenfels, Germany"
1918,"Berlin, Germany"
1912,"Leer, Germany"
1905,"Amsterdam, The Netherlands"
1889,"Strakonice, Czechoslovakia"
1891,"Plasy, Czechoslovakia"
,"Vilmany, Hungary"
,Yugoslavia
1912,"Amsterdam, The Netherlands"
1900,"Wien, Austria"
1883,"Wien, Austria"
1896,"Oradea Mare, Romania"
,"Debrecen, Hungary"
1898,"Budapest, Hungary"
1924,"Vilmany, Hungary"
1927,"Tata, Hungary"
1927,"Velky Berezny, Czechoslovakia"
1920,"Tamasi, Hungary"
1896,"Szombathely, Hungary"
1880,"Mol, Yugoslavia"
1919,"Szombathely, Hungary"
1928,"Kiskunfelegyhaza, Hungary"
1883,"Ungvar, Czechoslovakia"
1897,"Budapest, Hungary"
1924,"Vilmany, Hungary"
1924,"Ujpest, Hungary"
1900,"Karad, Hungary"
1882,"Amsterdam, The Netherlands"
1876,"Sighet, Romania"
1890,"Szilasbalhas, Hungary"
1900,"Ujpest, Hungary"
,"Levice, Czechoslovakia"
1899,"Nitra, Czechoslovakia"
1927,"Ujpest, Hungary"
1864,"Visk, Czechoslovakia"
1897,"Gyor, Hungary"
1909,"Tata, Hungary"
1926,"Gyor, Hungary"
1901,"Gyor, Hungary"
1902,"Roma, Italy"
1924,"Roma, Italy"
1900,"Roma, Italy"
1887,"Gyor, Hungary"
1897,"Ibrany, Hungary"
,"Farmos, Hungary"
1911,"Senec, Czechoslovakia"
1936,"Senec, Czechoslovakia"
1897,"Kaposvar, Hungary"
1870,"Tolcsva, Hungary"
1897,"Tolcsva, Hungary"
1878,"Senec, Czechoslovakia"
1929,"Budapest, Hungary"
1890,"Ovenhausen ueber Hoexter, Germany"
,"Didimotikhon, Greece"
,"Sopockinie, Poland"
,"Sopockin, Poland"
1925,"Sopockin, Poland"
,"Sopockin, Poland"
1926,"Sopockin, Poland"
,"Sopockin, Poland"
,"Sopochinie, Poland"
1914,"Amsterdam, The Netherlands"
1905,"Celldomolk, Hungary"
1918,"Uzhorod, Czechoslovakia"
1929,"Subotica, Yugoslavia"
1896,"Uzhorod, Czechoslovakia"
1887,"Wien, Austria"
1922,"Tab, Hungary"
1886,"Tab, Hungary"
1902,"Tab, Hungary"
1850,"Seir, Romania"
1918,"Prague, Czechoslovakia"
1891,"Sumeg,"
1891,"Sumeg, Hungary"
,"Paris, France"
1911,"Metz, France"
1923,"Fegersheim, France"
1903,"Benfeld, France"
1927,"Westhouse, France"
1920,"Velka Kirva, Czechoslovakia"
1896,"Berlin, Germany"
1923,"Eeckeren, Belgium"
1892,"Zittau, Germany"
1924,"Zittau, Germany"
1892,"Zittau, Germany"
,"Sopockin, Poland"
1899,"Dresden, Germany"
1892,"Wien, Austria"
1908,"Amsterdam, The Netherlands"
,"Amsterdam, The Netherlands"
,"Amsterdam, The Netherlands"
,
1913,"Sopockinie, Poland"
,"Sopockin, Poland"
,"Sopockin, Poland"
,"Sopockin, Poland"
,"Sopockin, Poland"
1921,"Sopockin, Poland"
1927,"Sopockin, Poland"
1886,"Sopockine, Poland"
,"Sopockin, Poland"
1905,"Rypin, Poland"
1907,"Bruxelles, Belgium"
1920,
1926,"Sopockine, Poland"
1923,"Sopockin, Poland"
1925,"Sopockine, Poland"
,"Sopockin, Poland"
,"Sopockine, Poland"
1895,"Wiesbaden, Germany"
1889,"Berlin, Germany"
1900,"Krakow, Poland"
1899,"Amsterdam, The Netherlands"
1927,"Berlin, Germany"
1927,"Berlin, Germany"
,"Hautzendorf, Austria"
,"Hautzendorf, Austria"
1924,"Wenen,"
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
1924,
1917,"Amsterdam, The Netherlands"
1930,"Frankfurt Main, Germany"
1929,"Remety Vysni, Czechoslovakia"
1914,"Satu Mare, Romania"
1894,"Berlin, Germany"
1927,"Szollosgyorok, Hungary"
1888,"Brno, Czechoslovakia"
1924,"Kolocava, Czechoslovakia"
1895,"Slatinske Doly, Czechoslovakia"
1926,Hungary
1922,"Debow, Poland"
1922,"Sopochinie, Poland"
,"Sopockine, Poland"
1936,"Boldva, Hungary"
1884,"Nyiregyhaza, Hungary"
1892,"Nyiregyhaza, Hungary"
1911,"Nyiregyhaza, Hungary"
1900,"Nyiregyhaza, Hungary"
1909,"Beregszasz, Czechoslovakia"
1895,
1925,"Gherla, Romania"
1917,"Nagyikold, Romania"
1923,"Gherla, Romania"
1881,"Gergely, Hungary"
,"Miskolc, Hungary"
1894,"Faluszlatina, Czechoslovakia"
1928,"Kosovska Poliana, Czechoslovakia"
1909,"Jura, Czechoslovakia"
1914,"Cluj, Romania"
,"Velke Kapusany, Czechoslovakia"
1900,"Velke Kapusany, Czechoslovakia"
,"Nagyvarad, Romania"
,"Nagyvarad, Romania"
,"Nagyvarad, Romania"
,"Nagyvarad, Romania"
,"Nagyvarad, Romania"
,"Koloszvar, Romania"
,"Kolozsvar, Romania"
1924,"Balmazújváros, Hungary"
1886,"Chust, Czechoslovakia"
1896,"Baja, Hungary"
1914,
,"Marseille, France"
1920,"Munkacs, Czechoslovakia"
,"Bardiov, Czechoslovakia"
1907,"Krakow, Poland"
1906,"Warszawa, Poland"
1902,"Antwerpen, Belgium"
1896,"Wien, Austria"
,"Wien, Austria"
1919,"Zutphen, The Netherlands"
1909,"Borne, The Netherlands"
1921,"Mezocsat, Hungary"
1896,"Budapest, Hungary"
1896,Hungary
1917,"Mezocsat, Hungary"
,"Levice, Czechoslovakia"
1894,"Szecseny, Hungary"
1903,"Szombathely, Hungary"
1926,"Bustyahaza, Czechoslovakia"
1918,"Amsterdam, The Netherlands"
1892,"Tata, Hungary"
1903,Romania
1892,"Subotica, Yugoslavia"
1890,"Subotica, Yugoslavia"
1921,"Subotica, Yugoslavia"
1894,"Bayonne, France"
1895,"Budapest, Hungary"
1901,"Szekesfehervar, Hungary"
1899,"Berlin, Germany"
1929,"Berlin, Germany"
,Yugoslavia
1924,"Lodz, Poland"
1900,"Moiseiu, Romania"
1934,"Cluj, Romania"
,Yugoslavia
,Yugoslavia
,"Novi Sad, Yugoslavia"
1928,"Budapest, Hungary"
1898,"Siofok, Hungary"
1898,"Siofok, Hungary"
1896,"Siofok, Hungary"
1894,"Sarvar, Hungary"
1896,"Siofok, Hungary"
1890,"Subotica, Yugoslavia"
1912,"Magendorf, Czechoslovakia"
1904,"Duna Serdhei, Czechoslovakia"
