birth,location,date
1887,"Berlin, Germany",1887.01.01
1887,"Berlin, Germany",1887.01.01
1887,"Berlin, Germany",1887.01.01
1887,"Berlin, Germany",1887.01.01
1888,"Berlin, Germany",1888.01.01
1888,"Berlin, Germany",1888.01.01
1888,"Berlin, Germany",1888.01.01
1889,"Berlin, Germany",1889.01.01
1889,"Berlin, Germany",1889.01.01
1889,"Berlin, Germany",1889.01.01
1889,"Berlin, Germany",1889.01.01
1889,"Berlin, Germany",1889.01.01
1890,"Berlin, Germany",1890.01.01
1890,"Berlin, Germany",1890.01.01
1890,"Berlin, Germany",1890.01.01
1890,"Berlin, Germany",1890.01.01
1891,"Berlin, Germany",1891.01.01
1891,"Berlin, Germany",1891.01.01
1892,"Berlin, Germany",1892.01.01
1892,"Berlin, Germany",1892.01.01
1892,"Berlin, Germany",1892.01.01
1892,"Berlin, Germany",1892.01.01
1893,"Berlin, Germany",1893.01.01
1893,"Berlin, Germany",1893.01.01
1893,"Berlin, Germany",1893.01.01
1893,"Berlin, Germany",1893.01.01
1894,"Berlin, Germany",1894.01.01
1894,"Berlin, Germany",1894.01.01
1894,"Berlin, Germany",1894.01.01
1894,"Berlin, Germany",1894.01.01
1894,"Berlin, Germany",1894.01.01
1894,"Berlin, Germany",1894.01.01
1894,"Berlin, Germany",1894.01.01
1895,"Berlin, Germany",1895.01.01
1896,"Berlin, Germany",1896.01.01
1896,"Berlin, Germany",1896.01.01
1896,"Berlin, Germany",1896.01.01
1896,"Berlin, Germany",1896.01.01
1896,"Berlin, Germany",1896.01.01
1896,"Berlin, Germany",1896.01.01
1897,"Berlin, Germany",1897.01.01
1898,"Berlin, Germany",1898.01.01
1898,"Berlin, Germany",1898.01.01
1898,"Berlin, Germany",1898.01.01
1898,"Berlin, Germany",1898.01.01
1898,"Berlin, Germany",1898.01.01
1898,"Berlin, Germany",1898.01.01
1899,"Berlin, Germany",1899.01.01
1899,"Berlin, Germany",1899.01.01
1899,"Berlin, Germany",1899.01.01
1899,"Berlin, Germany",1899.01.01
1899,"Berlin, Germany",1899.01.01
1900,"Berlin, Germany",1900.01.01
1900,"Berlin, Germany",1900.01.01
1901,"Berlin, Germany",1901.01.01
1901,"Berlin, Germany",1901.01.01
1901,"Berlin, Germany",1901.01.01
1901,"Berlin, Germany",1901.01.01
1901,"Berlin, Germany",1901.01.01
1902,"Berlin, Germany",1902.01.01
1902,"Berlin, Germany",1902.01.01
1902,"Berlin, Germany",1902.01.01
1902,"Berlin, Germany",1902.01.01
1902,"Berlin, Germany",1902.01.01
1902,"Berlin, Germany",1902.01.01
1902,"Berlin, Germany",1902.01.01
1902,"Berlin, Germany",1902.01.01
1903,"Berlin, Germany",1903.01.01
1903,"Berlin, Germany",1903.01.01
1903,"Berlin, Germany",1903.01.01
1904,"Berlin, Germany",1904.01.01
1904,"Berlin, Germany",1904.01.01
1904,"Berlin, Germany",1904.01.01
1904,"Berlin, Germany",1904.01.01
1904,"Berlin, Germany",1904.01.01
1904,"Berlin, Germany",1904.01.01
1904,"Berlin, Germany",1904.01.01
1905,"Berlin, Germany",1905.01.01
1905,"Berlin, Germany",1905.01.01
1905,"Berlin, Germany",1905.01.01
1905,"Berlin, Germany",1905.01.01
1905,"Berlin, Germany",1905.01.01
1906,"Berlin, Germany",1906.01.01
1906,"Berlin, Germany",1906.01.01
1906,"Berlin, Germany",1906.01.01
1906,"Berlin, Germany",1906.01.01
1906,"Berlin, Germany",1906.01.01
1906,"Berlin, Germany",1906.01.01
1906,"Berlin, Germany",1906.01.01
1906,"Berlin, Germany",1906.01.01
1907,"Berlin, Germany",1907.01.01
1907,"Berlin, Germany",1907.01.01
1907,"Berlin, Germany",1907.01.01
1908,"Berlin, Germany",1908.01.01
1908,"Berlin, Germany",1908.01.01
1909,"Berlin, Germany",1909.01.01
1909,"Berlin, Germany",1909.01.01
1909,"Berlin, Germany",1909.01.01
1909,"Berlin, Germany",1909.01.01
1910,"Berlin, Germany",1910.01.01
1910,"Berlin, Germany",1910.01.01
1910,"Berlin, Germany",1910.01.01
1910,"Berlin, Germany",1910.01.01
1910,"Berlin, Germany",1910.01.01
1910,"Berlin, Germany",1910.01.01
1911,"Berlin, Germany",1911.01.01
1911,"Berlin, Germany",1911.01.01
1911,"Berlin, Germany",1911.01.01
1913,"Berlin, Germany",1913.01.01
1914,"Berlin, Germany",1914.01.01
1914,"Berlin, Germany",1914.01.01
1915,"Berlin, Germany",1915.01.01
1916,"Berlin, Germany",1916.01.01
1918,"Berlin, Germany",1918.01.01
